agents,kmax,percent,ratio,profit,distance
1,25,-1,0.30,255,513588.41
1,25,-1,0.30,280,600407.52
1,27,-1,0.30,5,60922.88
1,27,-1,0.30,30,66983.81
1,27,-1,0.30,55,139052.19
1,27,-1,0.30,80,154658.41
1,27,-1,0.30,105,169448.85
1,27,-1,0.30,130,188396.44
1,27,-1,0.30,155,239074.02
1,27,-1,0.30,180,246364.36
1,27,-1,0.30,205,264415.93
1,27,-1,0.30,230,507477.24
1,27,-1,0.30,255,513583.21
1,27,-1,0.30,280,600420.48
1,29,-1,0.30,5,60922.88
1,29,-1,0.30,30,66983.81
1,29,-1,0.30,55,139052.19
1,29,-1,0.30,80,154658.41
1,29,-1,0.30,105,169448.85
1,29,-1,0.30,130,188396.44
1,29,-1,0.30,155,239074.02
1,29,-1,0.30,180,246364.36
1,29,-1,0.30,205,264415.93
1,29,-1,0.30,230,507477.24
1,29,-1,0.30,255,513575.74
1,29,-1,0.30,280,600420.48
1,31,-1,0.30,5,60922.88
1,31,-1,0.30,30,66983.81
1,31,-1,0.30,55,139052.19
1,31,-1,0.30,80,154658.41
1,31,-1,0.30,105,169448.85
1,31,-1,0.30,130,188396.44
1,31,-1,0.30,155,239074.02
1,31,-1,0.30,180,246364.36
1,31,-1,0.30,205,264415.93
1,31,-1,0.30,230,507477.24
1,31,-1,0.30,255,513575.74
1,31,-1,0.30,280,600420.48
1,33,-1,0.30,5,60922.88
1,33,-1,0.30,30,66983.81
1,33,-1,0.30,55,139052.19
1,33,-1,0.30,80,154658.41
1,33,-1,0.30,105,169448.85
1,33,-1,0.30,130,188396.44
1,33,-1,0.30,155,239074.02
1,33,-1,0.30,180,246364.36
1,33,-1,0.30,205,264415.93
1,33,-1,0.30,230,507477.24
1,33,-1,0.30,255,513575.74
1,33,-1,0.30,280,600420.48
1,35,-1,0.30,5,60922.88
1,35,-1,0.30,30,66983.81
1,35,-1,0.30,55,139052.19
1,35,-1,0.30,80,154658.41
1,35,-1,0.30,105,169448.85
1,35,-1,0.30,130,188396.44
1,35,-1,0.30,155,239074.02
1,35,-1,0.30,180,246364.36
1,35,-1,0.30,205,264415.93
1,35,-1,0.30,230,507477.24
1,35,-1,0.30,255,513575.74
1,35,-1,0.30,280,600420.48
1,37,-1,0.30,5,60922.88
1,37,-1,0.30,30,66983.81
1,37,-1,0.30,55,139052.19
1,37,-1,0.30,80,154658.41
