coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,4,1.00000,15,61069.89
dist,8,1.00000,15,61069.89
dist,10,1.00000,15,61069.89
dist,1,2.00000,15,60992.34
dist,2,2.00000,15,61069.89
dist,4,2.00000,15,61069.89
dist,8,2.00000,15,61069.89
dist,10,2.00000,15,61069.89
dist,1,4.00000,15,60992.34
dist,2,4.00000,15,61069.89
dist,4,4.00000,15,61069.89
dist,8,4.00000,15,61069.89
dist,10,4.00000,15,61069.89
dist,1,8.00000,15,60992.34
dist,2,8.00000,15,61069.89
dist,4,8.00000,15,61069.89
dist,8,8.00000,15,61069.89
dist,10,8.00000,15,61069.89
dist,1,16.00000,15,60992.34
dist,2,16.00000,15,61069.89
dist,4,16.00000,15,61069.89
dist,8,16.00000,15,61069.89
dist,10,16.00000,15,61069.89
dist,1,32.00000,15,60992.34
dist,2,32.00000,15,61069.89
dist,4,32.00000,15,61069.89
dist,8,32.00000,15,61069.89
dist,10,32.00000,15,61069.89
dist,1,64.00000,15,60992.34
dist,2,64.00000,15,61069.89
dist,4,64.00000,15,61069.89
dist,8,64.00000,15,61069.89
dist,10,64.00000,15,61069.89
dist,1,-1.00000,20,83006.80
dist,2,-1.00000,20,115217.23
dist,4,-1.00000,20,168827.51
dist,8,-1.00000,20,250825.88
dist,10,-1.00000,20,279387.65
dist,1,0.03125,20,61542.06
dist,2,0.03125,20,61626.09
dist,4,0.03125,20,61631.66
dist,8,0.03125,20,61631.66
dist,10,0.03125,20,61631.66
dist,1,0.06250,20,61542.06
dist,2,0.06250,20,61626.09
dist,4,0.06250,20,61631.66
dist,8,0.06250,20,61631.66
dist,10,0.06250,20,61631.66
dist,1,0.12500,20,61542.06
dist,2,0.12500,20,61626.09
dist,4,0.12500,20,61631.66
dist,8,0.12500,20,61631.66
dist,10,0.12500,20,61631.66
dist,1,0.25000,20,61542.06
dist,2,0.25000,20,61626.09
dist,4,0.25000,20,61631.66
dist,8,0.25000,20,61631.66
dist,10,0.25000,20,61631.66
dist,1,0.50000,20,61542.06
dist,2,0.50000,20,61626.09
dist,4,0.50000,20,61631.66
dist,8,0.50000,20,61631.66
dist,10,0.50000,20,61631.66
dist,1,1.00000,20,61542.06
dist,2,1.00000,20,61626.09
dist,4,1.00000,20,61631.66
dist,8,1.00000,20,61631.66
dist,10,1.00000,20,61631.66
dist,1,2.00000,20,61542.06
dist,2,2.00000,20,61626.09
dist,4,2.00000,20,61631.66
dist,8,2.00000,20,61631.66
dist,10,2.00000,20,61631.66
dist,1,4.00000,20,61542.06
dist,2,4.00000,20,61626.09
dist,4,4.00000,20,61631.66
dist,8,4.00000,20,61631.66
dist,10,4.00000,20,61631.66
dist,1,8.00000,20,61542.06
dist,2,8.00000,20,61626.09
dist,4,8.00000,20,61631.66
dist,8,8.00000,20,61631.66
dist,10,8.00000,20,61631.66
