heuristic,agents,profit,time (ns),distance (km)
four,10,55,22586,169.16
four,10,60,22701,171.30
four,10,65,22798,171.30
four,10,70,22714,175.84
four,10,75,22737,196.09
four,10,80,22746,196.09
four,10,85,23516,218.83
four,10,90,23310,223.09
four,10,95,23117,226.67
four,10,100,23392,250.78
four,10,105,23442,251.12
four,10,110,23628,251.12
four,10,115,23495,271.95
four,10,120,23559,333.12
four,10,125,23756,333.83
four,10,130,23613,360.65
four,10,135,23654,392.94
four,10,140,24269,397.69
four,10,145,24383,402.49
four,10,150,23949,403.12
four,10,155,25318,413.55
four,10,160,24284,454.49
four,10,165,27117,481.35
four,10,170,28946,501.89
four,10,175,41332,518.26
four,10,180,51266,552.56
four,10,185,68025,612.48
four,10,190,144659,642.59
four,10,195,347136,672.25
four,10,200,581249,672.80
four,10,205,815407,766.35
four,10,210,1079352,795.03
four,10,215,1353366,827.22
four,10,220,1568815,879.78
four,10,225,1601778,950.53
four,10,230,1617680,986.84
four,10,235,1825012,1020.02
four,10,240,2114912,1025.63
four,10,245,2365757,1029.43
four,10,250,2357643,1113.76
four,10,255,2427918,1180.50
four,10,260,2520909,1189.36
four,10,265,2619106,1212.17
four,10,270,2831708,1218.31
four,10,275,2773619,1237.32
four,10,280,2789020,1324.41
four,10,285,2953697,1323.69
four,10,290,3154191,1388.85
four,10,295,3173130,1416.81
four,10,333,7396808,2827.87
