agents,kmax,percent,ratio,profit,distance
1,25,-1,-1.00,55,138982.21
1,25,-1,-1.00,80,154681.32
1,25,-1,-1.00,105,169317.33
1,25,-1,-1.00,130,188405.47
1,25,-1,-1.00,155,239154.60
1,25,-1,-1.00,180,246116.55
1,25,-1,-1.00,205,264198.89
1,25,-1,-1.00,230,504194.06
1,25,-1,-1.00,255,514611.67
1,25,-1,-1.00,280,587272.24
1,27,-1,-1.00,5,60922.88
1,27,-1,-1.00,30,66983.81
1,27,-1,-1.00,55,138982.21
1,27,-1,-1.00,80,154681.32
1,27,-1,-1.00,105,169366.98
1,27,-1,-1.00,130,188396.44
1,27,-1,-1.00,155,239278.06
1,27,-1,-1.00,180,246012.75
1,27,-1,-1.00,205,264209.31
1,27,-1,-1.00,230,503960.87
1,27,-1,-1.00,255,513573.94
1,27,-1,-1.00,280,587040.99
1,29,-1,-1.00,5,60922.88
1,29,-1,-1.00,30,66983.81
1,29,-1,-1.00,55,138982.21
1,29,-1,-1.00,80,154658.41
1,29,-1,-1.00,105,169317.33
1,29,-1,-1.00,130,188396.44
1,29,-1,-1.00,155,239210.17
1,29,-1,-1.00,180,245964.55
1,29,-1,-1.00,205,264201.37
1,29,-1,-1.00,230,503450.85
1,29,-1,-1.00,255,513954.63
1,29,-1,-1.00,280,589137.78
1,31,-1,-1.00,5,60922.88
1,31,-1,-1.00,30,66983.81
1,31,-1,-1.00,55,138982.21
1,31,-1,-1.00,80,154658.41
1,31,-1,-1.00,105,169340.24
1,31,-1,-1.00,130,188396.44
1,31,-1,-1.00,155,239113.30
1,31,-1,-1.00,180,246160.15
1,31,-1,-1.00,205,264192.16
1,31,-1,-1.00,230,503483.23
1,31,-1,-1.00,255,513927.93
1,31,-1,-1.00,280,588287.67
1,33,-1,-1.00,5,60922.88
1,33,-1,-1.00,30,66983.81
1,33,-1,-1.00,55,138982.21
1,33,-1,-1.00,80,154658.41
1,33,-1,-1.00,105,169312.88
1,33,-1,-1.00,130,188396.44
1,33,-1,-1.00,155,239128.16
1,33,-1,-1.00,180,245959.03
1,33,-1,-1.00,205,264155.86
1,33,-1,-1.00,230,500783.01
1,33,-1,-1.00,255,513505.73
1,33,-1,-1.00,280,586434.81
1,35,-1,-1.00,5,60922.88
1,35,-1,-1.00,30,66983.81
1,35,-1,-1.00,55,138982.21
1,35,-1,-1.00,80,154658.41
1,35,-1,-1.00,105,169317.33
1,35,-1,-1.00,130,188396.44
1,35,-1,-1.00,155,239116.70
1,35,-1,-1.00,180,246016.14
