agents,kmax,percent,ratio,profit,distance
2,-1,10,-1.00,30,85960.96
2,-1,10,-1.00,55,165438.58
2,-1,10,-1.00,80,183071.15
2,-1,10,-1.00,105,221250.22
2,-1,10,-1.00,130,272178.55
2,-1,10,-1.00,155,300452.26
2,-1,10,-1.00,180,314949.33
2,-1,10,-1.00,205,346640.79
2,-1,10,-1.00,230,596807.63
2,-1,10,-1.00,255,617202.30
2,-1,10,-1.00,280,693430.52
2,-1,20,-1.00,5,60971.98
2,-1,20,-1.00,30,85960.96
2,-1,20,-1.00,55,165438.58
2,-1,20,-1.00,80,183001.79
2,-1,20,-1.00,105,221198.12
2,-1,20,-1.00,130,265108.69
2,-1,20,-1.00,155,301486.13
2,-1,20,-1.00,180,314831.12
2,-1,20,-1.00,205,342435.14
2,-1,20,-1.00,230,591321.66
2,-1,20,-1.00,255,610400.14
2,-1,20,-1.00,280,687564.67
2,-1,30,-1.00,5,60971.98
2,-1,30,-1.00,30,85960.96
2,-1,30,-1.00,55,165438.58
2,-1,30,-1.00,80,183052.85
2,-1,30,-1.00,105,221196.88
2,-1,30,-1.00,130,265812.62
2,-1,30,-1.00,155,300273.74
2,-1,30,-1.00,180,312849.03
2,-1,30,-1.00,205,342520.09
2,-1,30,-1.00,230,595802.10
2,-1,30,-1.00,255,616347.92
2,-1,30,-1.00,280,697088.15
2,-1,40,-1.00,5,60971.98
2,-1,40,-1.00,30,85960.96
2,-1,40,-1.00,55,165438.58
2,-1,40,-1.00,80,183194.98
2,-1,40,-1.00,105,220549.71
2,-1,40,-1.00,130,263124.68
2,-1,40,-1.00,155,300609.21
2,-1,40,-1.00,180,314743.95
2,-1,40,-1.00,205,340807.51
2,-1,40,-1.00,230,599358.62
2,-1,40,-1.00,255,610979.12
2,-1,40,-1.00,280,696936.88
2,-1,50,-1.00,5,60971.98
2,-1,50,-1.00,30,85960.96
2,-1,50,-1.00,55,166039.39
2,-1,50,-1.00,80,183136.01
2,-1,50,-1.00,105,220898.98
2,-1,50,-1.00,130,260160.89
2,-1,50,-1.00,155,297716.59
2,-1,50,-1.00,180,313616.55
2,-1,50,-1.00,205,345400.20
2,-1,50,-1.00,230,599852.37
2,-1,50,-1.00,255,611695.72
2,-1,50,-1.00,280,692909.78
2,-1,60,-1.00,5,60971.98
2,-1,60,-1.00,30,85960.96
2,-1,60,-1.00,55,165954.72
2,-1,60,-1.00,80,183072.15
2,-1,60,-1.00,105,218969.95
2,-1,60,-1.00,130,250616.81
2,-1,60,-1.00,155,297441.20
2,-1,60,-1.00,180,312628.84
2,-1,60,-1.00,205,341531.07
2,-1,60,-1.00,230,594735.01
2,-1,60,-1.00,255,609837.52
2,-1,60,-1.00,280,680390.20
2,-1,70,-1.00,5,60971.98
2,-1,70,-1.00,30,85960.96
2,-1,70,-1.00,55,165478.19
2,-1,70,-1.00,80,182590.18
2,-1,70,-1.00,105,217691.01
2,-1,70,-1.00,130,261045.66
2,-1,70,-1.00,155,297885.81
2,-1,70,-1.00,180,311125.28
2,-1,70,-1.00,205,340620.95
2,-1,70,-1.00,230,593526.70
2,-1,70,-1.00,255,604049.04
2,-1,70,-1.00,280,678754.89
2,-1,80,-1.00,5,60971.98
2,-1,80,-1.00,30,85960.96
2,-1,80,-1.00,55,165483.58
2,-1,80,-1.00,80,183106.80
2,-1,80,-1.00,105,217546.32
2,-1,80,-1.00,130,256764.72
2,-1,80,-1.00,155,296965.18
2,-1,80,-1.00,180,308654.95
2,-1,80,-1.00,205,333741.97
2,-1,80,-1.00,230,582330.51
2,-1,80,-1.00,255,602308.66
2,-1,80,-1.00,280,677155.20
2,-1,90,-1.00,5,60971.98
2,-1,90,-1.00,30,85960.96
2,-1,90,-1.00,55,165475.63
2,-1,90,-1.00,80,183235.83
2,-1,90,-1.00,105,216960.97
2,-1,90,-1.00,130,259833.59
2,-1,90,-1.00,155,297726.69
2,-1,90,-1.00,180,310205.07
2,-1,90,-1.00,205,334295.48
2,-1,90,-1.00,230,584959.56
2,-1,90,-1.00,255,603014.21
2,-1,90,-1.00,280,675787.76
2,-1,100,-1.00,5,60971.98
2,-1,100,-1.00,30,85960.96
2,-1,100,-1.00,55,165438.58
2,-1,100,-1.00,80,183071.15
2,-1,100,-1.00,105,221250.22
2,-1,100,-1.00,130,272234.78
2,-1,100,-1.00,155,300395.28
2,-1,100,-1.00,180,314967.46
2,-1,100,-1.00,205,346911.91
2,-1,100,-1.00,230,606774.45
2,-1,100,-1.00,255,624266.84
2,-1,100,-1.00,280,756538.99
4,-1,-1,-1.00,5,60971.98
4,-1,-1,-1.00,30,86586.50
4,-1,-1,-1.00,55,169130.77
4,-1,-1,-1.00,80,196038.63
4,-1,-1,-1.00,105,246708.28
4,-1,-1,-1.00,130,344000.37
4,-1,-1,-1.00,155,384841.81
4,-1,-1,-1.00,180,452224.76
4,-1,-1,-1.00,205,513568.87
4,-1,-1,-1.00,230,745513.94
4,-1,-1,-1.00,255,773724.12
4,-1,-1,-1.00,280,912527.20
4,-1,10,-1.00,5,60971.98
4,-1,10,-1.00,30,86586.50
4,-1,10,-1.00,55,169130.77
4,-1,10,-1.00,80,196038.63
4,-1,10,-1.00,105,246862.45
4,-1,10,-1.00,130,347254.23
4,-1,10,-1.00,155,386895.79
4,-1,10,-1.00,180,463695.87
4,-1,10,-1.00,205,567488.92
4,-1,10,-1.00,230,790479.89
4,-1,10,-1.00,255,859841.99
4,-1,10,-1.00,280,1102482.35
4,-1,20,-1.00,5,60971.98
4,-1,20,-1.00,30,86586.50
4,-1,20,-1.00,55,169130.77
4,-1,20,-1.00,80,196038.63
4,-1,20,-1.00,105,246862.45
4,-1,20,-1.00,130,347277.38
4,-1,20,-1.00,155,387053.23
4,-1,20,-1.00,180,459777.93
4,-1,20,-1.00,205,544269.52
4,-1,20,-1.00,230,787050.79
4,-1,20,-1.00,255,835716.91
4,-1,20,-1.00,280,1030468.64
4,-1,30,-1.00,5,60971.98
4,-1,30,-1.00,30,86586.50
4,-1,30,-1.00,55,169130.77
4,-1,30,-1.00,80,196038.63
4,-1,30,-1.00,105,246862.45
4,-1,30,-1.00,130,347537.63
4,-1,30,-1.00,155,386778.73
4,-1,30,-1.00,180,459234.19
4,-1,30,-1.00,205,526199.26
4,-1,30,-1.00,230,784575.62
4,-1,30,-1.00,255,830463.92
4,-1,30,-1.00,280,999793.35
